NCESSCH,ga_full_id,SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,System_School_ID,FAC_SCHTYPE,GRADE_RANGE,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
130255000959,667-195,2024.0,667.0,Gwinnett County,195.0,Collins Hill High School,667-195,H,09-12,1302550,Collins Hill High School,13,50 Taylor Rd,Suwanee,GA,30024,13,13135,Gwinnett County,21,34.0163,-84.0207,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13101,13007,2023-2024
130255000272,667-194,2024.0,667.0,Gwinnett County,194.0,Craig Elementary School,667-194,E,PK-05,1302550,Craig Elementary School,13,1075 Rocky Rd,Lawrenceville,GA,30044,13,13135,Gwinnett County,21,33.9025,-84.0182,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13106,13009,2023-2024
130255000046,667-193,2024.0,667.0,Gwinnett County,193.0,Walnut Grove Elementary School,667-193,E,PK-05,1302550,Walnut Grove Elementary School,13,75 Taylor Rd,Suwanee,GA,30024,13,13135,Gwinnett County,21,34.0178,-84.0229,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13101,13007,2023-2024
130255001127,667-4052,2024.0,667.0,Gwinnett County,4052.0,Dacula High School,667-4052,H,09-12,1302550,Dacula High School,13,123 Broad St,Dacula,GA,30019,13,13135,Gwinnett County,21,33.9908,-83.9008,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13105,13046,2023-2024
130006000007,601-177,2024.0,601.0,Appling County,177.0,Appling County Elementary School,601-177,E,PK-05,1300060,Appling County Elementary School,13,680 Blackshear Hwy,Baxley,GA,31513,13,13001,Appling County,33,31.7545,-82.3535,N,N,0,N,N,1301,13178,13019,2023-2024
130255001905,667-1050,2024.0,667.0,Gwinnett County,1050.0,Berkmar High School,667-1050,H,09-12,1302550,Berkmar High School,13,405 Pleasant Hill Rd NW,Lilburn,GA,30047,13,13135,Gwinnett County,21,33.907,-84.1141,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13108,13009,2023-2024
130255003785,667-309,2024.0,667.0,Gwinnett County,309.0,Rosebud Elementary School,667-309,E,PK-05,1302550,Rosebud Elementary School,13,4151 Rosebud Rd,Loganville,GA,30052,13,13135,Gwinnett County,21,33.818646,-83.964781,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13110,13055,2023-2024
130255003991,667-1020,2024.0,667.0,Gwinnett County,1020.0,New Life Academy of Excellence,667-1020,E,KK-08,1302550,New Life Academy of Excellence,13,4725 River Green Pkwy,Duluth,GA,30096,13,13135,Gwinnett County,21,34.01329,-84.170711,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13097,13007,2023-2024
130255001118,667-5550,2024.0,667.0,Gwinnett County,5550.0,Duluth High School,667-5550,H,09-12,1302550,Duluth High School,13,3737 Brock Rd,Duluth,GA,30096,13,13135,Gwinnett County,21,34.01,-84.1438,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13099,13007,2023-2024
130255002901,667-605,2024.0,667.0,Gwinnett County,605.0,Cooper Elementary School,667-605,E,PK-05,1302550,Cooper Elementary School,13,555 Ozora Rd,Loganville,GA,30052,13,13135,Gwinnett County,21,33.8916,-83.9135,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13110,13009,2023-2024
130255003393,667-608,2024.0,667.0,Gwinnett County,608.0,Patrick Elementary School,667-608,E,PK-05,1302550,Patrick Elementary School,13,2707 Kilgore Rd,Buford,GA,30519,13,13135,Gwinnett County,21,34.089114,-83.957553,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13105,13045,2023-2024
130255002902,667-705,2024.0,667.0,Gwinnett County,705.0,Parsons Elementary School,667-705,E,PK-05,1302550,Parsons Elementary School,13,1615 Old Peachtree Rd NW,Suwanee,GA,30024,13,13135,Gwinnett County,21,34.0137,-84.091,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13099,13007,2023-2024
130255003627,667-708,2024.0,667.0,Gwinnett County,708.0,Oakland Meadow School,667-708,K12,PK-12,1302550,Oakland Meadow School,13,590 Old Snellville Hwy,Lawrenceville,GA,30046,13,13135,Gwinnett County,21,33.925915,-83.99989,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13102,13009,2023-2024
130255002903,667-805,2024.0,667.0,Gwinnett County,805.0,Peachtree Ridge High School,667-805,H,09-12,1302550,Peachtree Ridge High School,13,1555 Old Peachtree Rd NW,Suwanee,GA,30024,13,13135,Gwinnett County,21,34.0131,-84.0873,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13099,13007,2023-2024
130255001122,667-905,2024.0,667.0,Gwinnett County,905.0,Duluth Middle School ,667-905,M,06-08,1302550,Duluth Middle School,13,3200 Pleasant Hill Rd,Duluth,GA,30096,13,13135,Gwinnett County,21,33.987,-84.1584,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13097,13007,2023-2024
130255003395,667-1005,2024.0,667.0,Gwinnett County,1005.0,Alcova Elementary School,667-1005,E,PK-05,1302550,Alcova Elementary School,13,770 Ewing Chapel Rd,Dacula,GA,30019,13,13135,Gwinnett County,21,33.9684,-83.8989,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13105,13046,2023-2024
